ID,Are you running on-premises or on a Cloud Provider? (Check all that apply),How much of your data analytics and machine learning development is done using Python & PyData stack? ,The Data Science team is currently using tools that they're not totally comfortable with?,How do you deploy your data analyses and ML models? (Check all that apply),Where is your data stored? (Check all that apply),Who deploys your data analyses and ML models today?(Check all that apply),"Rate your current pipeline or workflow from data acquisition to development to deployment today (1 - simple, 10 - very complex)",Would you like to add automation to your pipeline?,Do analysts and data scientists work alone or collaborate?,Is there a desire to collaborate more?,Are your data scientists using Git?,"Is reproducing older results a requirement, for compliance or other reasons?",Do you use the following:,"On a scale of 0 to 10, 10 being highly likely and 0 being not at all likely, how likely are you to recommend Spark to a friend or colleague?",Which best describes your attitude toward cloud compute costs?,Are you currently purchasing software or other services through any of the following marketplaces:
83,Azure,We use Python but it isn't dominant or core to our approach,Strongly Agree,"REST APIs, Batch jobs","Object store, NoSQL database","IT/DevOps exclusively, Data Scentists exclusively",8,No,Some collaboration,Yes,"Yes, our data scientists are proficient with Git",No,"Dask, I've heard of Dask but I don't use it",4,We are somewhat concerned with compute costs,"Azure Marketplace, GCP Marketplace"
84,"AWS, Azure, Google Cloud, On-premises",We use Python but it isn't dominant or core to our approach,Disagree,"REST APIs, Docker containers","Flat files, Relational database, Data Warehouse",A combination of IT/DevOps & Data Science,8,Maybe,We collaborate but there are pain points,Yes,"Yes, our data scientists are proficient with Git",Yes,,7,We are somewhat concerned with compute costs,No I do not purchase through the cloud marketplaces
85,"AWS, On-premises",We use Python more than other programming languages,Agree,"Dashboards, REST APIs, Batch jobs","Flat files, Data Warehouse",A combination of IT/DevOps & Data Science,9,Yes,Some collaboration,Yes,"Yes, but our data scientists aren't that comfortable using Git",Yes,"Dask, I've heard of RAPIDS but I don't use it",10,We are somewhat concerned with compute costs,AWS Marketplace
86,"AWS, Google Cloud, On-premises",We use Python more than other programming languages,Agree,"Dashboards, REST APIs, Batch jobs","Flat files, Object store, Relational database, NoSQL database, Data Warehouse",A combination of IT/DevOps & Data Science,8,Yes,Some collaboration,Maybe,"Yes, our data scientists are proficient with Git",Maybe,I've heard of Dask but I don't use it,5,We are strongly concerned with compute costs,AWS Marketplace
87,AWS,We use Python more than other programming languages,Disagree,Dashboards,"NoSQL database, Data Warehouse",Data Scentists exclusively,10,Maybe,Some collaboration,Yes,"Yes, our data scientists are proficient with Git",Yes,I've heard of Dask but I don't use it,N/A - I'm not familiar with Spark,We are not very concerned with compute costs,AWS Marketplace
88,"AWS, On-premises",We use Python but it isn't dominant or core to our approach,Strongly Agree,We don't,"Flat files, Relational database",Data Scentists exclusively,7,No,Some collaboration,Yes,"Yes, but our data scientists aren't that comfortable using Git",Yes,Dask,N/A - I'm not familiar with Spark,We are strongly concerned with compute costs,No I do not purchase through the cloud marketplaces
89,Other,We use Python more than other programming languages,Agree,"REST APIs, Batch jobs","Flat files, Relational database","IT/DevOps exclusively, Data Scentists exclusively",5,Yes,Some collaboration,Maybe,"Yes, our data scientists are proficient with Git",Maybe,I've heard of Dask but I don't use it,7,We are not very concerned with compute costs,AWS Marketplace
90,"AWS, Google Cloud",We use Python more than other programming languages,Disagree,"Dashboards, REST APIs","Relational database, Data Warehouse",A combination of IT/DevOps & Data Science,3,Yes,I am the only data scientist on staff so I wear the analytics hat too!,Maybe,"Yes, but our data scientists aren't that comfortable using Git",Maybe,"I've heard of Dask but I don't use it, I've heard of RAPIDS but I don't use it",N/A - I'm not familiar with Spark,We are not very concerned with compute costs,AWS Marketplace
91,Google Cloud,We use Python more than other programming languages,Agree,"Dashboards, REST APIs, Batch jobs","Flat files, Relational database, NoSQL database",A combination of IT/DevOps & Data Science,6,Yes,Some collaboration,Maybe,"Yes, our data scientists are proficient with Git",No,I've heard of RAPIDS but I don't use it,9,We are somewhat concerned with compute costs,No I do not purchase through the cloud marketplaces
92,AWS,We use Python more than other programming languages,Neutral,"Dashboards, Batch jobs",Data Warehouse,A combination of IT/DevOps & Data Science,8,Yes,Some collaboration,Yes,"No, we are not using Git for data science",Maybe,I've heard of RAPIDS but I don't use it,8,We are somewhat concerned with compute costs,No I do not purchase through the cloud marketplaces
93,AWS,We use Python more than other programming languages,Disagree,Dashboards,"NoSQL database, Data Warehouse",Data Scentists exclusively,10,Maybe,Some collaboration,Yes,"Yes, our data scientists are proficient with Git",Yes,I've heard of Dask but I don't use it,N/A - I'm not familiar with Spark,We are not very concerned with compute costs,AWS Marketplace
94,AWS,We use Python more than other programming languages,Disagree,"Dashboards, REST APIs","Relational database, Data Warehouse",A combination of IT/DevOps & Data Science,7,Maybe,We collaborate but there are pain points,Yes,"Yes, but our data scientists aren't that comfortable using Git",No,I've heard of Dask but I don't use it,N/A - I'm not familiar with Spark,We are somewhat concerned with compute costs,No I do not purchase through the cloud marketplaces
95,"AWS, Google Cloud",We use Python more than other programming languages,Neutral,REST APIs,Data Warehouse,Data Scentists exclusively,4,Yes,,,,,,,,
96,AWS,We use Python more than other programming languages,Agree,"Dashboards, Excel",Flat files,Data Scentists exclusively,7,Yes,Seamless collaboration,Yes,"Yes, but our data scientists aren't that comfortable using Git",No,"I've heard of Dask but I don't use it, I've heard of RAPIDS but I don't use it",9,We are not very concerned with compute costs,No I do not purchase through the cloud marketplaces
97,"AWS, On-premises",We use Python more than other programming languages,Disagree,"REST APIs, Batch jobs","Object store, Relational database, NoSQL database",A combination of IT/DevOps & Data Science,6,Maybe,No analysts/small team,Maybe,"Yes, our data scientists are proficient with Git",Maybe,I've heard of Dask but I don't use it,5,We are somewhat concerned with compute costs,AWS Marketplace
98,"AWS, On-premises",We use Python more than other programming languages,Neutral,"REST APIs, Batch jobs","Flat files, Relational database, Data Warehouse",A combination of IT/DevOps & Data Science,8,Yes,We collaborate but there are pain points,Yes,"Yes, our data scientists are proficient with Git",Yes,Dask,6,We are strongly concerned with compute costs,AWS Marketplace
99,"AWS, On-premises",We use Python but it isn't dominant or core to our approach,Agree,"Dashboards, Batch jobs",Data Warehouse,Data Scentists exclusively,7,Maybe,We collaborate but there are pain points,Maybe,"Yes, our data scientists are proficient with Git",Maybe,,9,We are somewhat concerned with compute costs,"AWS Marketplace, Other Cloud Marketplace"
100,"AWS, Google Cloud",We use Python but it isn't dominant or core to our approach,Disagree,"Dashboards, Batch jobs",Relational database,IT/DevOps exclusively,5,No,We collaborate but there are pain points,Yes,"Yes, our data scientists are proficient with Git",No,I've heard of Dask but I don't use it,5,We are somewhat concerned with compute costs,GCP Marketplace
101,"AWS, Google Cloud",We use Python more than other programming languages,Disagree,"Dashboards, Batch jobs","NoSQL database, Data Warehouse",A combination of IT/DevOps & Data Science,6,Yes,Seamless collaboration,No,"Yes, but our data scientists aren't that comfortable using Git",Yes,I've heard of Dask but I don't use it,7,We are somewhat concerned with compute costs,"AWS Marketplace, Azure Marketplace, GCP Marketplace"
102,"AWS, On-premises",We use Python more than other programming languages,Neutral,Batch jobs,"Flat files, Object store, Relational database, Data Warehouse","A combination of IT/DevOps & Data Science, Software engineers ",4,Yes,Some collaboration,Yes,"Yes, our data scientists are proficient with Git",Maybe,"I've heard of Dask but I don't use it, I've heard of RAPIDS but I don't use it",N/A - I'm not familiar with Spark,We are somewhat concerned with compute costs,AWS Marketplace
103,"AWS, On-premises","We traditionally use R and our own solutions. However, almost all new development is in Python.",Agree,"Dashboards, REST APIs","Flat files, Relational database, NoSQL database","A combination of IT/DevOps & Data Science, Computational scientists",10,Yes,Some collaboration,Maybe,"No, we are not using Git for data science",Yes,,8,We are strongly concerned with compute costs,No I do not purchase through the cloud marketplaces
104,"AWS, Google Cloud",We use Python more than other programming languages,Disagree,"Dashboards, REST APIs, Batch jobs, Kubeflow","Flat files, Object store",A combination of IT/DevOps & Data Science,10,Yes,We collaborate but there are pain points,Maybe,"Yes, our data scientists are proficient with Git",No,,1,We are not very concerned with compute costs,GCP Marketplace
105,AWS,We use Python more than other programming languages,Disagree,Dashboards,"NoSQL database, Data Warehouse",Data Scentists exclusively,10,Maybe,Some collaboration,Yes,"Yes, our data scientists are proficient with Git",Yes,I've heard of Dask but I don't use it,N/A - I'm not familiar with Spark,We are not very concerned with compute costs,AWS Marketplace
106,"Google Cloud, On-premises",We use Python more than other programming languages,Neutral,REST APIs,"Relational database, Data Warehouse",A combination of IT/DevOps & Data Science,3,Yes,Seamless collaboration,No,"Yes, our data scientists are proficient with Git",No,I've heard of Dask but I don't use it,5,We are somewhat concerned with compute costs,No I do not purchase through the cloud marketplaces
107,AWS,We use Python more than other programming languages,Disagree,Batch jobs,Relational database,IT/DevOps exclusively,7,Maybe,Some collaboration,Yes,"Yes, our data scientists are proficient with Git",Maybe,I've heard of RAPIDS but I don't use it,8,We are not very concerned with compute costs,No I do not purchase through the cloud marketplaces
108,On-premises,We use Python more than other programming languages,Disagree,Batch jobs,Relational database,Data Scentists exclusively,6,Yes,Seamless collaboration,No,"Yes, our data scientists are proficient with Git",Yes,"I've heard of Dask but I don't use it, I've heard of RAPIDS but I don't use it",N/A - I'm not familiar with Spark,We are not very concerned with compute costs,No I do not purchase through the cloud marketplaces
109,"Azure, Google Cloud, On-premises",We use Python but it isn't dominant or core to our approach,Strongly Agree,Batch jobs,"Relational database, Data Warehouse",A combination of IT/DevOps & Data Science,8,Maybe,Some collaboration,Yes,"Yes, but our data scientists aren't that comfortable using Git",Yes,I've heard of Dask but I don't use it,N/A - I'm not familiar with Spark,We are not very concerned with compute costs,"Azure Marketplace, GCP Marketplace"
110,On-premises,We use Python more than other programming languages,Neutral,"Dashboards, Batch jobs, ONNX scoring engine","Object store, Relational database, Data Warehouse",A combination of IT/DevOps & Data Science,8,Yes,Some collaboration,Yes,"Yes, our data scientists are proficient with Git",Yes,"Dask, I've heard of RAPIDS but I don't use it",6,We are not at all concerned with compute costs,No I do not purchase through the cloud marketplaces
111,AWS,We use Python more than other programming languages,Neutral,Batch jobs,"Relational database, Data Warehouse, spark parquets",A combination of IT/DevOps & Data Science,8,Maybe,Seamless collaboration,Maybe,"No, we are not using Git for data science",Maybe,"I've heard of Dask but I don't use it, I've heard of RAPIDS but I don't use it",2,We are somewhat concerned with compute costs,No I do not purchase through the cloud marketplaces
112,"AWS, On-premises",We use Python more than other programming languages,Disagree,REST APIs,Relational database,A combination of IT/DevOps & Data Science,7,Yes,Work solo and / or work locally,Yes,"Yes, our data scientists are proficient with Git",Yes,"I've heard of Dask but I don't use it, I've heard of RAPIDS but I don't use it",7,We are somewhat concerned with compute costs,AWS Marketplace
113,"Azure, Google Cloud",We use Python but it isn't dominant or core to our approach,Agree,Batch jobs,"Flat files, NoSQL database",A combination of IT/DevOps & Data Science,9,Maybe,Some collaboration,Yes,"No, we are not using Git for data science",Maybe,I've heard of Dask but I don't use it,8,We are not very concerned with compute costs,Azure Marketplace
114,On-premises,We use Python more than other programming languages,Strongly Agree,"Dashboards, Email alerts","Relational database, Data Warehouse",A combination of IT/DevOps & Data Science,6,Yes,Work solo and / or work locally,Yes,"Some are, some are not. ",No,I've heard of Dask but I don't use it,N/A - I'm not familiar with Spark,We are somewhat concerned with compute costs,No I do not purchase through the cloud marketplaces
115,On-premises,We use Python more than other programming languages,Disagree,Dashboards,"Relational database, Data Warehouse",Data Scentists exclusively,5,Maybe,Seamless collaboration,Yes,"No, we are not using Git for data science",No,I've heard of Dask but I don't use it,N/A - I'm not familiar with Spark,We are strongly concerned with compute costs,No I do not purchase through the cloud marketplaces
116,AWS,We use Python more than other programming languages,Neutral,"Dashboards, REST APIs","Relational database, NoSQL database","Data Scentists exclusively, A combination of IT/DevOps & Data Science",8,Yes,Some collaboration,Yes,"Yes, but our data scientists aren't that comfortable using Git",No,I've heard of Dask but I don't use it,8,We are somewhat concerned with compute costs,GCP Marketplace
117,,We use Python more than other programming languages,Neutral,Batch jobs,NoSQL database,Data Scentists exclusively,,Maybe,Work solo and / or work locally,Yes,"Yes, our data scientists are proficient with Git",Yes,I've heard of Dask but I don't use it,5,We are strongly concerned with compute costs,Azure Marketplace
118,On-premises,We use Python more than other programming languages,Disagree,,Relational database,A combination of IT/DevOps & Data Science,5,Yes,Seamless collaboration,No,"Yes, our data scientists are proficient with Git",No,I've heard of Dask but I don't use it,N/A - I'm not familiar with Spark,We are strongly concerned with compute costs,No I do not purchase through the cloud marketplaces
119,Other,We use Python more than other programming languages,Neutral,"REST APIs, Batch jobs","Object store, NoSQL database",Data Scentists exclusively,6,Yes,We collaborate but there are pain points,Maybe,"Yes, our data scientists are proficient with Git",No,,10,We are somewhat concerned with compute costs,Other Cloud Marketplace
120,"AWS, On-premises",We use Python more than other programming languages,Agree,REST APIs,Flat files,Colaberation between data science and web dev teams,3,Yes,We collaborate but there are pain points,No,"Yes, our data scientists are proficient with Git",No,"I've heard of Dask but I don't use it, I've heard of RAPIDS but I don't use it",N/A - I'm not familiar with Spark,We are strongly concerned with compute costs,AWS Marketplace
121,AWS,We use Python but it isn't dominant or core to our approach,Neutral,Dashboards,"Flat files, Relational database",A combination of IT/DevOps & Data Science,8,No,Some collaboration,Maybe,,No,,5,We are somewhat concerned with compute costs,AWS Marketplace
122,"AWS, Azure, Google Cloud, On-premises, Other",We use Python more than other programming languages,Agree,"Dashboards, REST APIs, Batch jobs, PDI","Flat files, Object store, Relational database, NoSQL database, Data Warehouse","IT/DevOps exclusively, Data Scentists exclusively, A combination of IT/DevOps & Data Science",6,Yes,,,,,,,,"AWS Marketplace, Azure Marketplace, GCP Marketplace, Other Cloud Marketplace"
123,Other,We use Python more than other programming languages,Agree,Dashboards,"Relational database, Data Warehouse",A combination of IT/DevOps & Data Science,6,No,We collaborate but there are pain points,Yes,"Yes, but our data scientists aren't that comfortable using Git",No,"Dask, I've heard of RAPIDS but I don't use it",5,We are somewhat concerned with compute costs,No I do not purchase through the cloud marketplaces
124,"Azure, Google Cloud",We use Python more than other programming languages,Neutral,"Dashboards, REST APIs","Flat files, Object store, Relational database, NoSQL database, Data Warehouse",A combination of IT/DevOps & Data Science,6,Yes,We collaborate but there are pain points,Yes,"Yes, but our data scientists aren't that comfortable using Git",Maybe,"I've heard of Dask but I don't use it, I've heard of RAPIDS but I don't use it",9,We are somewhat concerned with compute costs,"AWS Marketplace, Azure Marketplace"
125,On-premises,We use Python but it isn't dominant or core to our approach,Neutral,Dashboards,"Flat files, Relational database",Data Scentists exclusively,7,Maybe,Some collaboration,Yes,"Yes, our data scientists are proficient with Git",Yes,I've heard of Dask but I don't use it,N/A - I'm not familiar with Spark,We are strongly concerned with compute costs,AWS Marketplace
126,On-premises,We use Python more than other programming languages,Neutral,Dashboards,NoSQL database,A combination of IT/DevOps & Data Science,3,Yes,Some collaboration,Maybe,"Yes, our data scientists are proficient with Git",No,,9,We are strongly concerned with compute costs,No I do not purchase through the cloud marketplaces
127,AWS,We use Python more than other programming languages,Strongly Agree,"REST APIs, Batch jobs","Flat files, Relational database",A combination of IT/DevOps & Data Science,8,Yes,Some collaboration,Yes,"Yes, but our data scientists aren't that comfortable using Git",No,RAPIDS,8,We are somewhat concerned with compute costs,AWS Marketplace
128,"AWS, On-premises",We use Python more than other programming languages,Neutral,Dashboards,Relational database,A combination of IT/DevOps & Data Science,6,Maybe,We collaborate but there are pain points,Yes,"Yes, but our data scientists aren't that comfortable using Git",No,"I've heard of Dask but I don't use it, I've heard of RAPIDS but I don't use it",7,We are somewhat concerned with compute costs,No I do not purchase through the cloud marketplaces
129,"AWS, Azure",We use Python but it isn't dominant or core to our approach,Agree,"Dashboards, Batch jobs",Relational database,Data Scentists exclusively,8,Maybe,Some collaboration,Yes,"Yes, but our data scientists aren't that comfortable using Git",Maybe,I've heard of RAPIDS but I don't use it,9,We are not very concerned with compute costs,Azure Marketplace
130,Google Cloud,We use Python but it isn't dominant or core to our approach,Strongly Agree,Dashboards,Relational database,Data Scentists exclusively,5,No,Some collaboration,Yes,"Yes, our data scientists are proficient with Git",No,I've heard of Dask but I don't use it,8,We are somewhat concerned with compute costs,Other Cloud Marketplace
131,"AWS, Google Cloud",We use Python more than other programming languages,Strongly Agree,"REST APIs, Batch jobs","Flat files, Relational database, NoSQL database, Data Warehouse",A combination of IT/DevOps & Data Science,7,Yes,We collaborate but there are pain points,Yes,"Yes, our data scientists are proficient with Git",Maybe,"I've heard of Dask but I don't use it, I've heard of RAPIDS but I don't use it",N/A - I'm not familiar with Spark,We are somewhat concerned with compute costs,AWS Marketplace
132,Google Cloud,We use Python but it isn't dominant or core to our approach,Agree,Dashboards,"Flat files, Relational database",A combination of IT/DevOps & Data Science,7,Yes,We collaborate but there are pain points,Yes,"No, we are not using Git for data science",Yes,"I've heard of Dask but I don't use it, I've heard of RAPIDS but I don't use it",N/A - I'm not familiar with Spark,We are somewhat concerned with compute costs,Other Cloud Marketplace
133,On-premises,"Individuals like myself may use Python, but the company, as a whole relies mainly on SQL.",Neutral,We have not deployed any DS models.,"Relational database, Data Warehouse",IT/DevOps exclusively,7,Maybe,Some collaboration,Maybe,"Yes, but our data scientists aren't that comfortable using Git",Maybe,,N/A - I'm not familiar with Spark,,"Other Cloud Marketplace, No I do not purchase through the cloud marketplaces"
134,Azure,We use Python more than other programming languages,Disagree,"Dashboards, REST APIs","Flat files, Relational database, Data Warehouse",A combination of IT/DevOps & Data Science,7,Yes,We collaborate but there are pain points,Yes,"Yes, our data scientists are proficient with Git",Yes,"I've heard of Dask but I don't use it, I've heard of RAPIDS but I don't use it",7,We are somewhat concerned with compute costs,Azure Marketplace
135,"Azure, Google Cloud",We use Python more than other programming languages,Disagree,"Dashboards, REST APIs, Batch jobs","Object store, Relational database, NoSQL database",A combination of IT/DevOps & Data Science,9,Yes,Seamless collaboration,Yes,"Yes, but our data scientists aren't that comfortable using Git",Yes,I've heard of Dask but I don't use it,N/A - I'm not familiar with Spark,We are somewhat concerned with compute costs,"AWS Marketplace, Azure Marketplace, GCP Marketplace"
136,"AWS, On-premises, Other",We use Python more than other programming languages,Agree,REST APIs,"Flat files, Object store, NoSQL database, Apache Solr",A combination of IT/DevOps & Data Science,8,Yes,Some collaboration,Maybe,"Yes, but our data scientists aren't that comfortable using Git",Yes,I've heard of Dask but I don't use it,9,We are strongly concerned with compute costs,AWS Marketplace
137,"On-premises, Other",We use Python more than other programming languages,Agree,"Dashboards, REST APIs","Flat files, Object store, Relational database, NoSQL database, Data Warehouse",A combination of IT/DevOps & Data Science,5,Yes,Work solo and / or work locally,Yes,"Yes, but our data scientists aren't that comfortable using Git",Yes,I've heard of Dask but I don't use it,9,We are somewhat concerned with compute costs,No I do not purchase through the cloud marketplaces
138,"AWS, Google Cloud, Other",We use Python more than other programming languages,Disagree,REST APIs,Relational database,IT/DevOps exclusively,7,Maybe,Some collaboration,Yes,"Yes, our data scientists are proficient with Git",Yes,I've heard of Dask but I don't use it,6,We are strongly concerned with compute costs,No I do not purchase through the cloud marketplaces
139,Google Cloud,We use Python but it isn't dominant or core to our approach,Agree,REST APIs,Relational database,Data Scentists exclusively,8,No,Some collaboration,Yes,"Yes, but our data scientists aren't that comfortable using Git",No,Dask,9,We are strongly concerned with compute costs,GCP Marketplace
140,Azure,We use Python but it isn't dominant or core to our approach,Strongly Agree,Dashboards,NoSQL database,Data Scentists exclusively,9,Yes,Some collaboration,Yes,"Yes, our data scientists are proficient with Git",Yes,I've heard of Dask but I don't use it,9,We are somewhat concerned with compute costs,AWS Marketplace
141,Azure,We use Python but it isn't dominant or core to our approach,Agree,Dashboards,NoSQL database,IT/DevOps exclusively,9,Yes,Some collaboration,Yes,"Yes, our data scientists are proficient with Git",Yes,I've heard of Dask but I don't use it,9,We are strongly concerned with compute costs,AWS Marketplace
142,AWS,We use Python more than other programming languages,Strongly Agree,Dashboards,Relational database,IT/DevOps exclusively,8,Yes,Work solo and / or work locally,Yes,"Yes, our data scientists are proficient with Git",Yes,Dask,9,We are strongly concerned with compute costs,AWS Marketplace
143,"AWS, Google Cloud",We use Python more than other programming languages,Neutral,"Dashboards, REST APIs",NoSQL database,A combination of IT/DevOps & Data Science,9,Yes,Seamless collaboration,Maybe,"Yes, our data scientists are proficient with Git",Maybe,I've heard of Dask but I don't use it,9,We are somewhat concerned with compute costs,"AWS Marketplace, GCP Marketplace"
144,Google Cloud,We use Python more than other programming languages,Strongly Agree,Dashboards,"Flat files, Relational database","IT/DevOps exclusively, Data Scentists exclusively, A combination of IT/DevOps & Data Science",6,Yes,Work solo and / or work locally,Yes,"Yes, but our data scientists aren't that comfortable using Git",Yes,"I've heard of Dask but I don't use it, I've heard of RAPIDS but I don't use it",10,We are strongly concerned with compute costs,No I do not purchase through the cloud marketplaces
145,AWS,We don't plan on using Python,Disagree,"Dashboards, R markdown ","Flat files, Object store, Data Warehouse",A combination of IT/DevOps & Data Science,9,Maybe,We collaborate but there are pain points,Yes,"Yes, our data scientists are proficient with Git",Yes,,N/A - I'm not familiar with Spark,We are strongly concerned with compute costs,AWS Marketplace
146,Google Cloud,R,Strongly Agree,Batch jobs,Relational database,Data Scentists exclusively,7,No,Work solo and / or work locally,Yes,"Yes, our data scientists are proficient with Git",Yes,Dask,7,We are somewhat concerned with compute costs,Azure Marketplace
147,"AWS, Azure, Google Cloud, On-premises",We use Python more than other programming languages,Neutral,"Dashboards, REST APIs, Batch jobs","Flat files, Object store, Relational database, NoSQL database, Data Warehouse",A combination of IT/DevOps & Data Science,7,Yes,Some collaboration,Yes,"Yes, our data scientists are proficient with Git",Yes,"Dask, RAPIDS",7,We are somewhat concerned with compute costs,"AWS Marketplace, GCP Marketplace, Other Cloud Marketplace"
148,"AWS, On-premises",We use Python more than other programming languages,Disagree,"Dashboards, REST APIs, Batch jobs","Flat files, Relational database, NoSQL database, Data Warehouse",A combination of IT/DevOps & Data Science,7,Yes,Seamless collaboration,Yes,"Yes, our data scientists are proficient with Git",Maybe,Dask,N/A - I'm not familiar with Spark,We are somewhat concerned with compute costs,No I do not purchase through the cloud marketplaces
149,Other,We use Python more than other programming languages,Disagree,Dashboards,"Object store, Relational database",A combination of IT/DevOps & Data Science,6,Maybe,Seamless collaboration,Maybe,"No, we are not using Git for data science",Maybe,I've heard of Dask but I don't use it,N/A - I'm not familiar with Spark,We are not at all concerned with compute costs,No I do not purchase through the cloud marketplaces
150,On-premises,We use Python more than other programming languages,Neutral,"Dashboards, REST APIs",Relational database,A combination of IT/DevOps & Data Science,7,Yes,Seamless collaboration,No,"Yes, our data scientists are proficient with Git",Yes,,N/A - I'm not familiar with Spark,We are not at all concerned with compute costs,No I do not purchase through the cloud marketplaces
151,"Azure, On-premises",We use Python but it isn't dominant or core to our approach,Agree,"Dashboards, REST APIs","Flat files, Object store, Relational database, Data Warehouse",A combination of IT/DevOps & Data Science,6,Yes,Some collaboration,Yes,"Yes, but our data scientists aren't that comfortable using Git",Maybe,"I've heard of Dask but I don't use it, I've heard of RAPIDS but I don't use it",8,We are somewhat concerned with compute costs,Azure Marketplace
152,On-premises,We use Python more than other programming languages,Disagree,Dashboards,"Relational database, Data Warehouse",Data Scentists exclusively,5,Yes,Seamless collaboration,No,"No, we are not using Git for data science",No,"Dask, I've heard of RAPIDS but I don't use it",N/A - I'm not familiar with Spark,We are somewhat concerned with compute costs,Azure Marketplace
153,Other,We use Python more than other programming languages,Neutral,Batch jobs,Relational database,IT/DevOps exclusively,,,,,,,,,,
154,"Azure, On-premises",We use Python but it isn't dominant or core to our approach,Agree,"Batch jobs, Data transfer","Flat files, Relational database",IT/DevOps exclusively,10,Yes,Work solo and / or work locally,Yes,"No, we are not using Git for data science",Yes,"I've heard of Dask but I don't use it, I've heard of RAPIDS but I don't use it",7,We are strongly concerned with compute costs,Azure Marketplace
155,Other,We use Python more than other programming languages,Agree,Dashboards,"Flat files, Relational database",IT/DevOps exclusively,5,Yes,Seamless collaboration,Yes,"Yes, our data scientists are proficient with Git",Maybe,,N/A - I'm not familiar with Spark,We are strongly concerned with compute costs,No I do not purchase through the cloud marketplaces
156,AWS,We use Python more than other programming languages,Disagree,Batch jobs,NoSQL database,A combination of IT/DevOps & Data Science,9,Yes,Some collaboration,Maybe,"Yes, our data scientists are proficient with Git",Yes,I've heard of Dask but I don't use it,6,We are somewhat concerned with compute costs,No I do not purchase through the cloud marketplaces
157,"Azure, On-premises",We use Python more than other programming languages,Agree,"Dashboards, Batch jobs, web hosted and embedded Power BI platforms with dedicated capacity","Flat files, Relational database",A combination of IT/DevOps & Data Science,6,Maybe,We collaborate but there are pain points,Yes,"Yes, our data scientists are proficient with Git",Yes,"I've heard of Dask but I don't use it, I've heard of RAPIDS but I don't use it",5,We are somewhat concerned with compute costs,Azure Marketplace
158,"AWS, Google Cloud",R,Agree,"Dashboards, REST APIs, Batch jobs","Flat files, Relational database, NoSQL database",A combination of IT/DevOps & Data Science,7,No,Some collaboration,No,"Yes, our data scientists are proficient with Git",Maybe,"I've heard of Dask but I don't use it, I've heard of RAPIDS but I don't use it",8,We are strongly concerned with compute costs,"AWS Marketplace, GCP Marketplace"
159,"AWS, Google Cloud",We use Python but it isn't dominant or core to our approach,Disagree,,Relational database,Data Scentists exclusively,7,Yes,Work solo and / or work locally,Yes,"Yes, our data scientists are proficient with Git",No,I've heard of Dask but I don't use it,N/A - I'm not familiar with Spark,We are somewhat concerned with compute costs,AWS Marketplace
160,AWS,We use Python more than other programming languages,Disagree,Openvino,"Relational database, NoSQL database",A combination of IT/DevOps & Data Science,8,Yes,Some collaboration,Yes,"Yes, our data scientists are proficient with Git",No,"I've heard of Dask but I don't use it, I've heard of RAPIDS but I don't use it",3,We are strongly concerned with compute costs,AWS Marketplace
161,"AWS, Google Cloud, On-premises",We use Python but it isn't dominant or core to our approach,Disagree,"Dashboards, Batch jobs",Data Warehouse,A combination of IT/DevOps & Data Science,6,No,Seamless collaboration,Yes,"Yes, our data scientists are proficient with Git",Yes,,N/A - I'm not familiar with Spark,We are not very concerned with compute costs,No I do not purchase through the cloud marketplaces
162,AWS,We use Python more than other programming languages,Neutral,REST APIs,"Flat files, Relational database, NoSQL database",IT/DevOps exclusively,5,Yes,We collaborate but there are pain points,Yes,"Yes, our data scientists are proficient with Git",Yes,,N/A - I'm not familiar with Spark,We are not very concerned with compute costs,AWS Marketplace
163,"AWS, Azure, On-premises",We use Python more than other programming languages,Strongly Agree,"Dashboards, REST APIs, PowerBI, Tableau, Domo","Flat files, Relational database, NoSQL database, Data Warehouse",A combination of IT/DevOps & Data Science,6,Maybe,Some collaboration,Yes,"Yes, our data scientists are proficient with Git",Yes,"Dask, I've heard of RAPIDS but I don't use it",8,We are somewhat concerned with compute costs,"AWS Marketplace, Azure Marketplace"
164,"Azure, Google Cloud, On-premises",We use Python but it isn't dominant or core to our approach,Agree,"Dashboards, REST APIs, Batch jobs","Flat files, Relational database, NoSQL database, Data Warehouse",A combination of IT/DevOps & Data Science,8,Maybe,We collaborate but there are pain points,Yes,"Yes, our data scientists are proficient with Git",Maybe,"Dask, RAPIDS",7,We are somewhat concerned with compute costs,No I do not purchase through the cloud marketplaces
165,"AWS, Google Cloud",We use Python but it isn't dominant or core to our approach,Disagree,REST APIs,"Relational database, NoSQL database, Data Warehouse",A combination of IT/DevOps & Data Science,7,Yes,Some collaboration,Yes,"Yes, our data scientists are proficient with Git",No,I've heard of Dask but I don't use it,5,We are somewhat concerned with compute costs,"AWS Marketplace, GCP Marketplace"
166,On-premises,We use Python but it isn't dominant or core to our approach,Neutral,Dashboards,"Relational database, NoSQL database, Data Warehouse",A combination of IT/DevOps & Data Science,4,Yes,We collaborate but there are pain points,Maybe,"No, we are not using Git for data science",Yes,"I've heard of Dask but I don't use it, I've heard of RAPIDS but I don't use it",7,We are somewhat concerned with compute costs,"AWS Marketplace, Azure Marketplace, Other Cloud Marketplace"
