ID,Questions,Responses
144,Which best describes your attitude toward cloud compute costs?,We are strongly concerned with compute costs
145,Which best describes your attitude toward cloud compute costs?,We are strongly concerned with compute costs
146,Which best describes your attitude toward cloud compute costs?,We are somewhat concerned with compute costs
147,Which best describes your attitude toward cloud compute costs?,We are somewhat concerned with compute costs
148,Which best describes your attitude toward cloud compute costs?,We are somewhat concerned with compute costs
149,Which best describes your attitude toward cloud compute costs?,We are not at all concerned with compute costs
150,Which best describes your attitude toward cloud compute costs?,We are not at all concerned with compute costs
151,Which best describes your attitude toward cloud compute costs?,We are somewhat concerned with compute costs
152,Which best describes your attitude toward cloud compute costs?,We are somewhat concerned with compute costs
153,Which best describes your attitude toward cloud compute costs?,
154,Which best describes your attitude toward cloud compute costs?,We are strongly concerned with compute costs
155,Which best describes your attitude toward cloud compute costs?,We are strongly concerned with compute costs
156,Which best describes your attitude toward cloud compute costs?,We are somewhat concerned with compute costs
157,Which best describes your attitude toward cloud compute costs?,We are somewhat concerned with compute costs
158,Which best describes your attitude toward cloud compute costs?,We are strongly concerned with compute costs
159,Which best describes your attitude toward cloud compute costs?,We are somewhat concerned with compute costs
160,Which best describes your attitude toward cloud compute costs?,We are strongly concerned with compute costs
161,Which best describes your attitude toward cloud compute costs?,We are not very concerned with compute costs
162,Which best describes your attitude toward cloud compute costs?,We are not very concerned with compute costs
163,Which best describes your attitude toward cloud compute costs?,We are somewhat concerned with compute costs
164,Which best describes your attitude toward cloud compute costs?,We are somewhat concerned with compute costs
165,Which best describes your attitude toward cloud compute costs?,We are somewhat concerned with compute costs
166,Which best describes your attitude toward cloud compute costs?,We are somewhat concerned with compute costs
167,Which best describes your attitude toward cloud compute costs?,We are somewhat concerned with compute costs
168,Which best describes your attitude toward cloud compute costs?,We are strongly concerned with compute costs
169,Which best describes your attitude toward cloud compute costs?,We are strongly concerned with compute costs
170,Which best describes your attitude toward cloud compute costs?,We are not very concerned with compute costs
171,Which best describes your attitude toward cloud compute costs?,We are strongly concerned with compute costs
172,Which best describes your attitude toward cloud compute costs?,We are strongly concerned with compute costs
173,Which best describes your attitude toward cloud compute costs?,We are somewhat concerned with compute costs
174,Which best describes your attitude toward cloud compute costs?,We are somewhat concerned with compute costs
175,Which best describes your attitude toward cloud compute costs?,We are somewhat concerned with compute costs
176,Which best describes your attitude toward cloud compute costs?,We are somewhat concerned with compute costs
177,Which best describes your attitude toward cloud compute costs?,We are not at all concerned with compute costs
178,Which best describes your attitude toward cloud compute costs?,We are not very concerned with compute costs
179,Which best describes your attitude toward cloud compute costs?,We are strongly concerned with compute costs
180,Which best describes your attitude toward cloud compute costs?,We are somewhat concerned with compute costs
181,Which best describes your attitude toward cloud compute costs?,We are strongly concerned with compute costs
182,Which best describes your attitude toward cloud compute costs?,We are strongly concerned with compute costs
183,Which best describes your attitude toward cloud compute costs?,We are not at all concerned with compute costs
184,Which best describes your attitude toward cloud compute costs?,We are strongly concerned with compute costs
185,Which best describes your attitude toward cloud compute costs?,We are strongly concerned with compute costs
186,Which best describes your attitude toward cloud compute costs?,We are not very concerned with compute costs
187,Which best describes your attitude toward cloud compute costs?,We are somewhat concerned with compute costs
188,Which best describes your attitude toward cloud compute costs?,We are not very concerned with compute costs
189,Which best describes your attitude toward cloud compute costs?,We are not very concerned with compute costs
190,Which best describes your attitude toward cloud compute costs?,We are not at all concerned with compute costs
191,Which best describes your attitude toward cloud compute costs?,We are not very concerned with compute costs
192,Which best describes your attitude toward cloud compute costs?,We are not at all concerned with compute costs
193,Which best describes your attitude toward cloud compute costs?,We are strongly concerned with compute costs
194,Which best describes your attitude toward cloud compute costs?,We are somewhat concerned with compute costs
195,Which best describes your attitude toward cloud compute costs?,We are not very concerned with compute costs
196,Which best describes your attitude toward cloud compute costs?,We are somewhat concerned with compute costs
197,Which best describes your attitude toward cloud compute costs?,We are strongly concerned with compute costs
198,Which best describes your attitude toward cloud compute costs?,We are somewhat concerned with compute costs
199,Which best describes your attitude toward cloud compute costs?,We are somewhat concerned with compute costs
200,Which best describes your attitude toward cloud compute costs?,
201,Which best describes your attitude toward cloud compute costs?,We are strongly concerned with compute costs
202,Which best describes your attitude toward cloud compute costs?,We are not very concerned with compute costs
203,Which best describes your attitude toward cloud compute costs?,We are not at all concerned with compute costs
204,Which best describes your attitude toward cloud compute costs?,We are somewhat concerned with compute costs
205,Which best describes your attitude toward cloud compute costs?,We are somewhat concerned with compute costs
206,Which best describes your attitude toward cloud compute costs?,We are strongly concerned with compute costs
207,Which best describes your attitude toward cloud compute costs?,We are strongly concerned with compute costs
208,Which best describes your attitude toward cloud compute costs?,We are strongly concerned with compute costs
209,Which best describes your attitude toward cloud compute costs?,We are not at all concerned with compute costs
210,Which best describes your attitude toward cloud compute costs?,We are somewhat concerned with compute costs
211,Which best describes your attitude toward cloud compute costs?,We are somewhat concerned with compute costs
212,Which best describes your attitude toward cloud compute costs?,We are not very concerned with compute costs
213,Which best describes your attitude toward cloud compute costs?,We are strongly concerned with compute costs
214,Which best describes your attitude toward cloud compute costs?,We are somewhat concerned with compute costs
215,Which best describes your attitude toward cloud compute costs?,We are strongly concerned with compute costs
216,Which best describes your attitude toward cloud compute costs?,We are not very concerned with compute costs
1,Would you like to add automation to your pipeline?,Maybe
2,Would you like to add automation to your pipeline?,Yes
3,Would you like to add automation to your pipeline?,Yes
4,Would you like to add automation to your pipeline?,Maybe
5,Would you like to add automation to your pipeline?,Maybe
6,Would you like to add automation to your pipeline?,Maybe
7,Would you like to add automation to your pipeline?,Yes
8,Would you like to add automation to your pipeline?,Yes
9,Would you like to add automation to your pipeline?,Yes
10,Would you like to add automation to your pipeline?,Yes
11,Would you like to add automation to your pipeline?,Maybe
12,Would you like to add automation to your pipeline?,Yes
13,Would you like to add automation to your pipeline?,
14,Would you like to add automation to your pipeline?,Maybe
15,Would you like to add automation to your pipeline?,No
16,Would you like to add automation to your pipeline?,Maybe
17,Would you like to add automation to your pipeline?,Yes
18,Would you like to add automation to your pipeline?,Yes
19,Would you like to add automation to your pipeline?,Yes
20,Would you like to add automation to your pipeline?,Yes
21,Would you like to add automation to your pipeline?,Yes
22,Would you like to add automation to your pipeline?,Yes
23,Would you like to add automation to your pipeline?,Yes
24,Would you like to add automation to your pipeline?,Yes
25,Would you like to add automation to your pipeline?,Yes
26,Would you like to add automation to your pipeline?,Yes
27,Would you like to add automation to your pipeline?,Yes
28,Would you like to add automation to your pipeline?,Maybe
29,Would you like to add automation to your pipeline?,Maybe
30,Would you like to add automation to your pipeline?,Yes
31,Would you like to add automation to your pipeline?,Yes
32,Would you like to add automation to your pipeline?,Yes
33,Would you like to add automation to your pipeline?,Maybe
34,Would you like to add automation to your pipeline?,Yes
35,Would you like to add automation to your pipeline?,No
36,Would you like to add automation to your pipeline?,Maybe
37,Would you like to add automation to your pipeline?,Yes
38,Would you like to add automation to your pipeline?,Yes
39,Would you like to add automation to your pipeline?,Yes
40,Would you like to add automation to your pipeline?,Yes
41,Would you like to add automation to your pipeline?,Maybe
42,Would you like to add automation to your pipeline?,Yes
43,Would you like to add automation to your pipeline?,Maybe
44,Would you like to add automation to your pipeline?,Yes
45,Would you like to add automation to your pipeline?,Yes
46,Would you like to add automation to your pipeline?,Maybe
47,Would you like to add automation to your pipeline?,Yes
48,Would you like to add automation to your pipeline?,Yes
49,Would you like to add automation to your pipeline?,Maybe
50,Would you like to add automation to your pipeline?,Maybe
51,Would you like to add automation to your pipeline?,Yes
52,Would you like to add automation to your pipeline?,Maybe
53,Would you like to add automation to your pipeline?,Yes
54,Would you like to add automation to your pipeline?,Yes
55,Would you like to add automation to your pipeline?,Maybe
56,Would you like to add automation to your pipeline?,Maybe
57,Would you like to add automation to your pipeline?,Yes
58,Would you like to add automation to your pipeline?,Yes
59,Would you like to add automation to your pipeline?,Maybe
60,Would you like to add automation to your pipeline?,Maybe
61,Would you like to add automation to your pipeline?,Yes
62,Would you like to add automation to your pipeline?,No
63,Would you like to add automation to your pipeline?,No
64,Would you like to add automation to your pipeline?,Yes
65,Would you like to add automation to your pipeline?,Yes
66,Would you like to add automation to your pipeline?,Yes
67,Would you like to add automation to your pipeline?,Maybe
68,Would you like to add automation to your pipeline?,No
69,Would you like to add automation to your pipeline?,Yes
70,Would you like to add automation to your pipeline?,Yes
71,Would you like to add automation to your pipeline?,Yes
72,Would you like to add automation to your pipeline?,Maybe
73,Would you like to add automation to your pipeline?,Maybe
74,Would you like to add automation to your pipeline?,Yes
75,Would you like to add automation to your pipeline?,Yes
76,Would you like to add automation to your pipeline?,Yes
77,Would you like to add automation to your pipeline?,Maybe
78,Would you like to add automation to your pipeline?,Maybe
79,Would you like to add automation to your pipeline?,Yes
80,Would you like to add automation to your pipeline?,Yes
81,Would you like to add automation to your pipeline?,Maybe
82,Would you like to add automation to your pipeline?,Yes
83,Would you like to add automation to your pipeline?,No
84,Would you like to add automation to your pipeline?,Maybe
85,Would you like to add automation to your pipeline?,Yes
86,Would you like to add automation to your pipeline?,Yes
87,Would you like to add automation to your pipeline?,Maybe
88,Would you like to add automation to your pipeline?,No
89,Would you like to add automation to your pipeline?,Yes
90,Would you like to add automation to your pipeline?,Yes
91,Would you like to add automation to your pipeline?,Yes
92,Would you like to add automation to your pipeline?,Yes
93,Would you like to add automation to your pipeline?,Maybe
94,Would you like to add automation to your pipeline?,Maybe
95,Would you like to add automation to your pipeline?,Yes
96,Would you like to add automation to your pipeline?,Yes
97,Would you like to add automation to your pipeline?,Maybe
98,Would you like to add automation to your pipeline?,Yes
99,Would you like to add automation to your pipeline?,Maybe
100,Would you like to add automation to your pipeline?,No
101,Would you like to add automation to your pipeline?,Yes
102,Would you like to add automation to your pipeline?,Yes
103,Would you like to add automation to your pipeline?,Yes
104,Would you like to add automation to your pipeline?,Yes
105,Would you like to add automation to your pipeline?,Maybe
106,Would you like to add automation to your pipeline?,Yes
107,Would you like to add automation to your pipeline?,Maybe
108,Would you like to add automation to your pipeline?,Yes
109,Would you like to add automation to your pipeline?,Maybe
110,Would you like to add automation to your pipeline?,Yes
111,Would you like to add automation to your pipeline?,Maybe
112,Would you like to add automation to your pipeline?,Yes
113,Would you like to add automation to your pipeline?,Maybe
114,Would you like to add automation to your pipeline?,Yes
115,Would you like to add automation to your pipeline?,Maybe
116,Would you like to add automation to your pipeline?,Yes
117,Would you like to add automation to your pipeline?,Maybe
118,Would you like to add automation to your pipeline?,Yes
119,Would you like to add automation to your pipeline?,Yes
120,Would you like to add automation to your pipeline?,Yes
121,Would you like to add automation to your pipeline?,No
122,Would you like to add automation to your pipeline?,Yes
123,Would you like to add automation to your pipeline?,No
124,Would you like to add automation to your pipeline?,Yes
125,Would you like to add automation to your pipeline?,Maybe
126,Would you like to add automation to your pipeline?,Yes
127,Would you like to add automation to your pipeline?,Yes
128,Would you like to add automation to your pipeline?,Maybe
129,Would you like to add automation to your pipeline?,Maybe
130,Would you like to add automation to your pipeline?,No
131,Would you like to add automation to your pipeline?,Yes
132,Would you like to add automation to your pipeline?,Yes
133,Would you like to add automation to your pipeline?,Maybe
134,Would you like to add automation to your pipeline?,Yes
135,Would you like to add automation to your pipeline?,Yes
136,Would you like to add automation to your pipeline?,Yes
137,Would you like to add automation to your pipeline?,Yes
138,Would you like to add automation to your pipeline?,Maybe
139,Would you like to add automation to your pipeline?,No
140,Would you like to add automation to your pipeline?,Yes
141,Would you like to add automation to your pipeline?,Yes
142,Would you like to add automation to your pipeline?,Yes
143,Would you like to add automation to your pipeline?,Yes
144,Would you like to add automation to your pipeline?,Yes
145,Would you like to add automation to your pipeline?,Maybe
146,Would you like to add automation to your pipeline?,No
147,Would you like to add automation to your pipeline?,Yes
148,Would you like to add automation to your pipeline?,Yes
149,Would you like to add automation to your pipeline?,Maybe
150,Would you like to add automation to your pipeline?,Yes
151,Would you like to add automation to your pipeline?,Yes
152,Would you like to add automation to your pipeline?,Yes
153,Would you like to add automation to your pipeline?,
154,Would you like to add automation to your pipeline?,Yes
155,Would you like to add automation to your pipeline?,Yes
156,Would you like to add automation to your pipeline?,Yes
157,Would you like to add automation to your pipeline?,Maybe
158,Would you like to add automation to your pipeline?,No
159,Would you like to add automation to your pipeline?,Yes
160,Would you like to add automation to your pipeline?,Yes
161,Would you like to add automation to your pipeline?,No
162,Would you like to add automation to your pipeline?,Yes
163,Would you like to add automation to your pipeline?,Maybe
164,Would you like to add automation to your pipeline?,Maybe
165,Would you like to add automation to your pipeline?,Yes
166,Would you like to add automation to your pipeline?,Yes
167,Would you like to add automation to your pipeline?,Maybe
168,Would you like to add automation to your pipeline?,Yes
169,Would you like to add automation to your pipeline?,Yes
170,Would you like to add automation to your pipeline?,Maybe
171,Would you like to add automation to your pipeline?,Yes
172,Would you like to add automation to your pipeline?,Yes
173,Would you like to add automation to your pipeline?,Yes
174,Would you like to add automation to your pipeline?,Yes
175,Would you like to add automation to your pipeline?,Yes
176,Would you like to add automation to your pipeline?,Yes
177,Would you like to add automation to your pipeline?,Maybe
178,Would you like to add automation to your pipeline?,Yes
179,Would you like to add automation to your pipeline?,Yes
180,Would you like to add automation to your pipeline?,Yes
181,Would you like to add automation to your pipeline?,Yes
182,Would you like to add automation to your pipeline?,Maybe
183,Would you like to add automation to your pipeline?,Yes
184,Would you like to add automation to your pipeline?,Yes
185,Would you like to add automation to your pipeline?,Yes
186,Would you like to add automation to your pipeline?,Yes
187,Would you like to add automation to your pipeline?,Maybe
188,Would you like to add automation to your pipeline?,Maybe
189,Would you like to add automation to your pipeline?,Yes
190,Would you like to add automation to your pipeline?,Yes
191,Would you like to add automation to your pipeline?,Maybe
192,Would you like to add automation to your pipeline?,Yes
193,Would you like to add automation to your pipeline?,Yes
194,Would you like to add automation to your pipeline?,Maybe
195,Would you like to add automation to your pipeline?,Maybe
196,Would you like to add automation to your pipeline?,Yes
197,Would you like to add automation to your pipeline?,Yes
198,Would you like to add automation to your pipeline?,Maybe
199,Would you like to add automation to your pipeline?,Maybe
200,Would you like to add automation to your pipeline?,Yes
201,Would you like to add automation to your pipeline?,Yes
202,Would you like to add automation to your pipeline?,Yes
203,Would you like to add automation to your pipeline?,Yes
204,Would you like to add automation to your pipeline?,Yes
205,Would you like to add automation to your pipeline?,Yes
206,Would you like to add automation to your pipeline?,Yes
207,Would you like to add automation to your pipeline?,Maybe
208,Would you like to add automation to your pipeline?,Yes
209,Would you like to add automation to your pipeline?,Maybe
210,Would you like to add automation to your pipeline?,Maybe
211,Would you like to add automation to your pipeline?,No
212,Would you like to add automation to your pipeline?,Maybe
213,Would you like to add automation to your pipeline?,Yes
214,Would you like to add automation to your pipeline?,No
215,Would you like to add automation to your pipeline?,Yes
216,Would you like to add automation to your pipeline?,Yes
1,q1_AWS,1
2,q1_AWS,0
3,q1_AWS,1
4,q1_AWS,0
5,q1_AWS,0
6,q1_AWS,0
7,q1_AWS,0
8,q1_AWS,0
9,q1_AWS,0
10,q1_AWS,1
11,q1_AWS,1
12,q1_AWS,1
13,q1_AWS,1
14,q1_AWS,0
15,q1_AWS,1
16,q1_AWS,1
17,q1_AWS,1
18,q1_AWS,0
19,q1_AWS,1
20,q1_AWS,0
21,q1_AWS,1
22,q1_AWS,0
23,q1_AWS,1
24,q1_AWS,0
25,q1_AWS,1
26,q1_AWS,1
27,q1_AWS,1
28,q1_AWS,1
29,q1_AWS,1
30,q1_AWS,1
31,q1_AWS,1
32,q1_AWS,1
33,q1_AWS,0
34,q1_AWS,1
35,q1_AWS,0
36,q1_AWS,0
37,q1_AWS,1
38,q1_AWS,1
39,q1_AWS,1
40,q1_AWS,1
41,q1_AWS,1
42,q1_AWS,1
43,q1_AWS,1
44,q1_AWS,1
45,q1_AWS,0
46,q1_AWS,1
47,q1_AWS,1
48,q1_AWS,0
49,q1_AWS,1
50,q1_AWS,1
51,q1_AWS,1
52,q1_AWS,1
53,q1_AWS,1
54,q1_AWS,0
55,q1_AWS,1
56,q1_AWS,1
57,q1_AWS,0
58,q1_AWS,1
59,q1_AWS,1
60,q1_AWS,1
61,q1_AWS,1
62,q1_AWS,1
63,q1_AWS,0
64,q1_AWS,1
65,q1_AWS,1
66,q1_AWS,1
67,q1_AWS,1
68,q1_AWS,1
69,q1_AWS,1
70,q1_AWS,1
71,q1_AWS,1
72,q1_AWS,1
73,q1_AWS,0
74,q1_AWS,1
75,q1_AWS,1
76,q1_AWS,0
77,q1_AWS,0
78,q1_AWS,1
79,q1_AWS,1
80,q1_AWS,0
81,q1_AWS,1
82,q1_AWS,0
83,q1_AWS,0
84,q1_AWS,1
85,q1_AWS,1
86,q1_AWS,1
87,q1_AWS,1
88,q1_AWS,1
89,q1_AWS,0
90,q1_AWS,1
91,q1_AWS,0
92,q1_AWS,1
93,q1_AWS,1
94,q1_AWS,1
95,q1_AWS,1
96,q1_AWS,1
97,q1_AWS,1
98,q1_AWS,1
99,q1_AWS,1
100,q1_AWS,1
101,q1_AWS,1
102,q1_AWS,1
103,q1_AWS,1
104,q1_AWS,1
105,q1_AWS,1
106,q1_AWS,0
107,q1_AWS,1
108,q1_AWS,0
109,q1_AWS,0
110,q1_AWS,0
111,q1_AWS,1
112,q1_AWS,1
113,q1_AWS,0
114,q1_AWS,0
115,q1_AWS,0
116,q1_AWS,1
117,q1_AWS,
118,q1_AWS,0
119,q1_AWS,0
120,q1_AWS,1
121,q1_AWS,1
122,q1_AWS,1
123,q1_AWS,0
124,q1_AWS,0
125,q1_AWS,0
126,q1_AWS,0
127,q1_AWS,1
128,q1_AWS,1
129,q1_AWS,1
130,q1_AWS,0
131,q1_AWS,1
132,q1_AWS,0
133,q1_AWS,0
134,q1_AWS,0
135,q1_AWS,0
136,q1_AWS,1
137,q1_AWS,0
138,q1_AWS,1
139,q1_AWS,0
140,q1_AWS,0
141,q1_AWS,0
142,q1_AWS,1
143,q1_AWS,1
144,q1_AWS,0
145,q1_AWS,1
146,q1_AWS,0
147,q1_AWS,1
148,q1_AWS,1
149,q1_AWS,0
150,q1_AWS,0
151,q1_AWS,0
152,q1_AWS,0
153,q1_AWS,0
154,q1_AWS,0
155,q1_AWS,0
156,q1_AWS,1
157,q1_AWS,0
158,q1_AWS,1
159,q1_AWS,1
160,q1_AWS,1
161,q1_AWS,1
162,q1_AWS,1
163,q1_AWS,1
164,q1_AWS,0
165,q1_AWS,1
166,q1_AWS,0
167,q1_AWS,0
168,q1_AWS,0
169,q1_AWS,0
170,q1_AWS,0
171,q1_AWS,1
172,q1_AWS,0
173,q1_AWS,0
174,q1_AWS,0
175,q1_AWS,0
176,q1_AWS,0
177,q1_AWS,0
178,q1_AWS,1
179,q1_AWS,1
180,q1_AWS,0
181,q1_AWS,1
182,q1_AWS,1
183,q1_AWS,1
184,q1_AWS,1
185,q1_AWS,0
186,q1_AWS,1
187,q1_AWS,1
188,q1_AWS,0
189,q1_AWS,1
190,q1_AWS,0
191,q1_AWS,0
192,q1_AWS,0
193,q1_AWS,1
194,q1_AWS,1
195,q1_AWS,0
196,q1_AWS,0
197,q1_AWS,0
198,q1_AWS,1
199,q1_AWS,0
200,q1_AWS,1
201,q1_AWS,0
202,q1_AWS,0
203,q1_AWS,0
204,q1_AWS,0
205,q1_AWS,0
206,q1_AWS,0
207,q1_AWS,0
208,q1_AWS,1
209,q1_AWS,0
210,q1_AWS,0
211,q1_AWS,0
212,q1_AWS,1
213,q1_AWS,0
214,q1_AWS,0
215,q1_AWS,0
216,q1_AWS,1
1,q1_Azure,0
2,q1_Azure,1
3,q1_Azure,0
4,q1_Azure,0
5,q1_Azure,0
6,q1_Azure,1
7,q1_Azure,0
8,q1_Azure,0
9,q1_Azure,0
10,q1_Azure,0
11,q1_Azure,0
12,q1_Azure,0
13,q1_Azure,0
14,q1_Azure,1
15,q1_Azure,0
16,q1_Azure,0
17,q1_Azure,0
18,q1_Azure,1
19,q1_Azure,1
20,q1_Azure,0
21,q1_Azure,0
22,q1_Azure,0
23,q1_Azure,0
24,q1_Azure,0
25,q1_Azure,1
26,q1_Azure,0
27,q1_Azure,1
28,q1_Azure,0
29,q1_Azure,0
30,q1_Azure,0
31,q1_Azure,0
32,q1_Azure,0
33,q1_Azure,0
34,q1_Azure,0
35,q1_Azure,0
36,q1_Azure,0
37,q1_Azure,0
38,q1_Azure,0
39,q1_Azure,0
40,q1_Azure,0
41,q1_Azure,0
42,q1_Azure,1
43,q1_Azure,0
44,q1_Azure,0
45,q1_Azure,0
46,q1_Azure,0
47,q1_Azure,0
48,q1_Azure,0
49,q1_Azure,0
50,q1_Azure,0
51,q1_Azure,0
52,q1_Azure,0
53,q1_Azure,0
54,q1_Azure,1
55,q1_Azure,0
56,q1_Azure,0
57,q1_Azure,0
58,q1_Azure,0
59,q1_Azure,0
60,q1_Azure,0
61,q1_Azure,0
62,q1_Azure,1
63,q1_Azure,0
64,q1_Azure,1
65,q1_Azure,1
66,q1_Azure,0
67,q1_Azure,0
68,q1_Azure,0
69,q1_Azure,1
70,q1_Azure,0
71,q1_Azure,0
72,q1_Azure,1
73,q1_Azure,0
74,q1_Azure,0
75,q1_Azure,0
76,q1_Azure,0
77,q1_Azure,1
78,q1_Azure,0
79,q1_Azure,0
80,q1_Azure,0
81,q1_Azure,0
82,q1_Azure,1
83,q1_Azure,1
84,q1_Azure,1
85,q1_Azure,0
86,q1_Azure,0
87,q1_Azure,0
88,q1_Azure,0
89,q1_Azure,0
90,q1_Azure,0
91,q1_Azure,0
92,q1_Azure,0
93,q1_Azure,0
94,q1_Azure,0
95,q1_Azure,0
96,q1_Azure,0
97,q1_Azure,0
98,q1_Azure,0
99,q1_Azure,0
100,q1_Azure,0
101,q1_Azure,0
102,q1_Azure,0
103,q1_Azure,0
104,q1_Azure,0
105,q1_Azure,0
106,q1_Azure,0
107,q1_Azure,0
108,q1_Azure,0
109,q1_Azure,1
110,q1_Azure,0
111,q1_Azure,0
112,q1_Azure,0
113,q1_Azure,1
114,q1_Azure,0
115,q1_Azure,0
116,q1_Azure,0
117,q1_Azure,
118,q1_Azure,0
119,q1_Azure,0
120,q1_Azure,0
121,q1_Azure,0
122,q1_Azure,1
123,q1_Azure,0
124,q1_Azure,1
125,q1_Azure,0
126,q1_Azure,0
127,q1_Azure,0
128,q1_Azure,0
129,q1_Azure,1
130,q1_Azure,0
131,q1_Azure,0
132,q1_Azure,0
133,q1_Azure,0
134,q1_Azure,1
135,q1_Azure,1
136,q1_Azure,0
137,q1_Azure,0
138,q1_Azure,0
139,q1_Azure,0
140,q1_Azure,1
141,q1_Azure,1
142,q1_Azure,0
143,q1_Azure,0
144,q1_Azure,0
145,q1_Azure,0
146,q1_Azure,0
147,q1_Azure,1
148,q1_Azure,0
149,q1_Azure,0
150,q1_Azure,0
151,q1_Azure,1
152,q1_Azure,0
153,q1_Azure,0
154,q1_Azure,1
155,q1_Azure,0
156,q1_Azure,0
157,q1_Azure,1
158,q1_Azure,0
159,q1_Azure,0
160,q1_Azure,0
161,q1_Azure,0
162,q1_Azure,0
163,q1_Azure,1
164,q1_Azure,1
165,q1_Azure,0
166,q1_Azure,0
167,q1_Azure,0
168,q1_Azure,0
169,q1_Azure,1
170,q1_Azure,0
171,q1_Azure,0
172,q1_Azure,0
173,q1_Azure,0
174,q1_Azure,0
175,q1_Azure,0
176,q1_Azure,0
177,q1_Azure,0
178,q1_Azure,0
179,q1_Azure,1
180,q1_Azure,0
181,q1_Azure,0
182,q1_Azure,0
183,q1_Azure,0
184,q1_Azure,1
185,q1_Azure,0
186,q1_Azure,0
187,q1_Azure,0
188,q1_Azure,1
189,q1_Azure,0
190,q1_Azure,0
191,q1_Azure,0
192,q1_Azure,0
193,q1_Azure,1
194,q1_Azure,1
195,q1_Azure,0
196,q1_Azure,0
197,q1_Azure,0
198,q1_Azure,1
199,q1_Azure,0
200,q1_Azure,1
201,q1_Azure,0
202,q1_Azure,0
203,q1_Azure,0
204,q1_Azure,1
205,q1_Azure,1
206,q1_Azure,0
207,q1_Azure,0
208,q1_Azure,0
209,q1_Azure,0
210,q1_Azure,0
211,q1_Azure,1
212,q1_Azure,0
213,q1_Azure,0
214,q1_Azure,0
215,q1_Azure,1
216,q1_Azure,0
1,q1_Google Cloud,0
2,q1_Google Cloud,0
3,q1_Google Cloud,0
4,q1_Google Cloud,0
5,q1_Google Cloud,0
6,q1_Google Cloud,0
7,q1_Google Cloud,1
8,q1_Google Cloud,0
9,q1_Google Cloud,0
10,q1_Google Cloud,1
11,q1_Google Cloud,1
12,q1_Google Cloud,0
13,q1_Google Cloud,0
14,q1_Google Cloud,0
15,q1_Google Cloud,0
16,q1_Google Cloud,0
17,q1_Google Cloud,0
18,q1_Google Cloud,0
19,q1_Google Cloud,0
20,q1_Google Cloud,0
21,q1_Google Cloud,0
22,q1_Google Cloud,0
23,q1_Google Cloud,1
24,q1_Google Cloud,1
25,q1_Google Cloud,0
26,q1_Google Cloud,0
27,q1_Google Cloud,0
28,q1_Google Cloud,1
29,q1_Google Cloud,0
30,q1_Google Cloud,0
31,q1_Google Cloud,1
32,q1_Google Cloud,0
33,q1_Google Cloud,0
34,q1_Google Cloud,0
35,q1_Google Cloud,0
36,q1_Google Cloud,0
37,q1_Google Cloud,0
38,q1_Google Cloud,0
39,q1_Google Cloud,1
40,q1_Google Cloud,0
41,q1_Google Cloud,0
42,q1_Google Cloud,0
43,q1_Google Cloud,0
44,q1_Google Cloud,0
45,q1_Google Cloud,1
46,q1_Google Cloud,0
47,q1_Google Cloud,1
48,q1_Google Cloud,0
49,q1_Google Cloud,0
50,q1_Google Cloud,0
51,q1_Google Cloud,0
52,q1_Google Cloud,1
53,q1_Google Cloud,0
54,q1_Google Cloud,0
55,q1_Google Cloud,0
56,q1_Google Cloud,0
57,q1_Google Cloud,0
58,q1_Google Cloud,0
59,q1_Google Cloud,0
60,q1_Google Cloud,0
61,q1_Google Cloud,0
62,q1_Google Cloud,0
63,q1_Google Cloud,1
64,q1_Google Cloud,0
65,q1_Google Cloud,0
66,q1_Google Cloud,0
67,q1_Google Cloud,0
68,q1_Google Cloud,0
69,q1_Google Cloud,1
70,q1_Google Cloud,0
71,q1_Google Cloud,0
72,q1_Google Cloud,0
73,q1_Google Cloud,0
74,q1_Google Cloud,0
75,q1_Google Cloud,0
76,q1_Google Cloud,0
77,q1_Google Cloud,0
78,q1_Google Cloud,1
79,q1_Google Cloud,0
80,q1_Google Cloud,0
81,q1_Google Cloud,0
82,q1_Google Cloud,0
83,q1_Google Cloud,0
84,q1_Google Cloud,1
85,q1_Google Cloud,0
86,q1_Google Cloud,1
87,q1_Google Cloud,0
88,q1_Google Cloud,0
89,q1_Google Cloud,0
90,q1_Google Cloud,1
91,q1_Google Cloud,1
92,q1_Google Cloud,0
93,q1_Google Cloud,0
94,q1_Google Cloud,0
95,q1_Google Cloud,1
96,q1_Google Cloud,0
97,q1_Google Cloud,0
98,q1_Google Cloud,0
99,q1_Google Cloud,0
100,q1_Google Cloud,1
101,q1_Google Cloud,1
102,q1_Google Cloud,0
103,q1_Google Cloud,0
104,q1_Google Cloud,1
105,q1_Google Cloud,0
106,q1_Google Cloud,1
107,q1_Google Cloud,0
108,q1_Google Cloud,0
109,q1_Google Cloud,1
110,q1_Google Cloud,0
111,q1_Google Cloud,0
112,q1_Google Cloud,0
113,q1_Google Cloud,1
114,q1_Google Cloud,0
115,q1_Google Cloud,0
116,q1_Google Cloud,0
117,q1_Google Cloud,
118,q1_Google Cloud,0
119,q1_Google Cloud,0
120,q1_Google Cloud,0
121,q1_Google Cloud,0
122,q1_Google Cloud,1
123,q1_Google Cloud,0
124,q1_Google Cloud,1
125,q1_Google Cloud,0
126,q1_Google Cloud,0
127,q1_Google Cloud,0
128,q1_Google Cloud,0
129,q1_Google Cloud,0
130,q1_Google Cloud,1
131,q1_Google Cloud,1
